date,year,month,state,count
2017-01,2017,01,AL,31
2017-01,2017,01,AR,9
2017-01,2017,01,AZ,305
2017-01,2017,01,CA,14565
2017-01,2017,01,CO,178
2017-01,2017,01,CT,539
2017-01,2017,01,DC,79
2017-01,2017,01,DE,26
2017-01,2017,01,FL,5520
2017-01,2017,01,GA,1941
2017-01,2017,01,IA,314
2017-01,2017,01,ID,78
2017-01,2017,01,IL,2392
2017-01,2017,01,IN,216
2017-01,2017,01,KS,128
2017-01,2017,01,KY,53
2017-01,2017,01,LA,127
2017-01,2017,01,MA,927
2017-01,2017,01,MD,1259
2017-01,2017,01,ME,37
2017-01,2017,01,MI,2724
2017-01,2017,01,MN,491
2017-01,2017,01,MO,627
2017-01,2017,01,MS,78
2017-01,2017,01,MT,28
2017-01,2017,01,NC,949
2017-01,2017,01,NE,551
2017-01,2017,01,NH,105
2017-01,2017,01,NJ,1097
2017-01,2017,01,NM,16
2017-01,2017,01,NV,193
2017-01,2017,01,NY,2903
2017-01,2017,01,OH,1525
2017-01,2017,01,OK,71
2017-01,2017,01,OR,120
2017-01,2017,01,PA,3021
2017-01,2017,01,RI,179
2017-01,2017,01,SC,500
2017-01,2017,01,SD,2
2017-01,2017,01,TN,221
2017-01,2017,01,TX,8699
2017-01,2017,01,UT,159
2017-01,2017,01,VA,1106
2017-01,2017,01,VT,3
2017-01,2017,01,WA,1240
2017-01,2017,01,WI,255
2017-01,2017,01,WV,53
2017-01,2017,01,WY,13
2017-02,2017,02,AL,13
2017-02,2017,02,AR,17
2017-02,2017,02,AZ,293
2017-02,2017,02,CA,14399
2017-02,2017,02,CO,133
2017-02,2017,02,CT,533
2017-02,2017,02,DC,78
2017-02,2017,02,DE,29
2017-02,2017,02,FL,4933
2017-02,2017,02,GA,1780
2017-02,2017,02,IA,313
2017-02,2017,02,ID,56
2017-02,2017,02,IL,2378
2017-02,2017,02,IN,198
2017-02,2017,02,KS,89
2017-02,2017,02,KY,58
2017-02,2017,02,LA,120
2017-02,2017,02,MA,953
2017-02,2017,02,MD,1102
2017-02,2017,02,ME,61
2017-02,2017,02,MI,2101
2017-02,2017,02,MN,224
2017-02,2017,02,MO,521
2017-02,2017,02,MS,65
2017-02,2017,02,MT,18
2017-02,2017,02,NC,1008
2017-02,2017,02,NE,536
2017-02,2017,02,NH,170
2017-02,2017,02,NJ,1144
2017-02,2017,02,NM,16
2017-02,2017,02,NV,143
2017-02,2017,02,NY,2851
2017-02,2017,02,OH,1186
2017-02,2017,02,OK,87
2017-02,2017,02,OR,130
2017-02,2017,02,PA,2998
2017-02,2017,02,RI,207
2017-02,2017,02,SC,520
2017-02,2017,02,SD,2
2017-02,2017,02,TN,199
2017-02,2017,02,TX,7188
2017-02,2017,02,UT,94
2017-02,2017,02,VA,922
2017-02,2017,02,VT,13
2017-02,2017,02,WA,1428
2017-02,2017,02,WI,227
